C (48)Ca+(206)Pb -> (254)No                                               
H:  X  Y  '253No  '
C 253No  
  23.6  0.170E-05;  28.9  0.453E-06;  30.7  0.163E-06;  36.6  0.266E-08;
  40.0  0.000E+00;  41.2  0.000E+00;  43.9  0.719E-10;  40.0  0.000E+00;
  41.2  0.000E+00;  43.9  0.719E-10;
H:  X  Y  '249Fm  '
C 249Fm  
  36.6  0.136E-05;  40.0  0.201E-06;  41.2  0.102E-06;  43.9  0.166E-07;
  23.6  0.581E-06;  28.9  0.819E-05;  30.7  0.913E-05;  36.6  0.136E-05;
  40.0  0.201E-06;  41.2  0.102E-06;  43.9  0.166E-07;  40.0  0.201E-06;
  41.2  0.102E-06;  43.9  0.166E-07;
H:  X  Y  '248Fm  '
C 248Fm  
  36.6  0.226E-05;  40.0  0.209E-05;  41.2  0.166E-05;  43.9  0.728E-06;
  23.6  0.000E+00;  28.9  0.452E-07;  30.7  0.214E-06;  36.6  0.226E-05;
  40.0  0.209E-05;  41.2  0.166E-05;  43.9  0.728E-06;  40.0  0.209E-05;
  41.2  0.166E-05;  43.9  0.728E-06;
H:  X  Y  '247Fm  '
C 247Fm  
  36.6  0.176E-08;  40.0  0.305E-07;  41.2  0.602E-07;  43.9  0.192E-06;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;  36.6  0.176E-08;
  40.0  0.305E-07;  41.2  0.602E-07;  43.9  0.192E-06;  40.0  0.305E-07;
  41.2  0.602E-07;  43.9  0.192E-06;
H:  X  Y  '251Es  '
C 251Es  
  36.6  0.217E-15;  40.0  0.543E-14;  41.2  0.128E-13;  43.9  0.746E-13;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.107E-19;  36.6  0.217E-15;
  40.0  0.543E-14;  41.2  0.128E-13;  43.9  0.746E-13;  40.0  0.543E-14;
  41.2  0.128E-13;  43.9  0.746E-13;
H:  X  Y  '250Es  '
C 250Es  
  36.6  0.716E-21;  40.0  0.346E-17;  41.2  0.293E-16;  43.9  0.123E-14;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;  36.6  0.716E-21;
